# Quantity renames across CODATA adjustments. Generated by data/renames;
# regenerate with "make -C data update_renames" and review any change.
#
# A pair is accepted only when the units are compatible and the values agree
# to within 5 sigma of their combined quoted uncertainties, uniquely in both
# directions. Lines marked #retired, #new or #ambiguous are NOT aliased.
#
# old_name	new_name	from	to	sigma
LATTICE_SPACING_OF_SILICON	LATTICE_SPACING_OF_IDEAL_SI_220	2014	2018	0.04
ATOMIC_UNIT_OF_MOMUM	ATOMIC_UNIT_OF_MOMENTUM	2014	2018	1.34
BOHR_MAGNETON_IN_INVERSE_METERS_PER_TESLA	BOHR_MAGNETON_IN_INVERSE_METER_PER_TESLA	2014	2018	1.23
BOLTZMANN_CONSTANT_IN_INVERSE_METERS_PER_KELVIN	BOLTZMANN_CONSTANT_IN_INVERSE_METER_PER_KELVIN	2014	2018	0.58
COMPTON_WAVELENGTH_OVER_2_PI	REDUCED_COMPTON_WAVELENGTH	2014	2018	1.48
CU_X_UNIT	COPPER_X_UNIT	2014	2018	0.00
ELECTRIC_CONSTANT	VACUUM_ELECTRIC_PERMITTIVITY	2014	2018	3.23
ELECTRON_GYROMAG_RATIO_OVER_2_PI	ELECTRON_GYROMAG_RATIO_IN_MHZ_T	2014	2018	1.27
#retired	ELEMENTARY_CHARGE_OVER_H	2014	2018	-
#retired	FARADAY_CONSTANT_FOR_CONVENTIONAL_ELECTRIC_CURRENT	2014	2018	-
MAG_CONSTANT	VACUUM_MAG_PERMEABILITY	2014	2018	3.79
#retired	MOLAR_PLANCK_CONSTANT_TIMES_C	2014	2018	-
MO_X_UNIT	MOLYBDENUM_X_UNIT	2014	2018	0.00
MUON_COMPTON_WAVELENGTH_OVER_2_PI	REDUCED_MUON_COMPTON_WAVELENGTH	2014	2018	0.03
NATURAL_UNIT_OF_MOMUM	NATURAL_UNIT_OF_MOMENTUM	2014	2018	1.26
NATURAL_UNIT_OF_MOMUM_IN_MEV_C	NATURAL_UNIT_OF_MOMENTUM_IN_MEV_C	2014	2018	1.26
NEUTRON_COMPTON_WAVELENGTH_OVER_2_PI	REDUCED_NEUTRON_COMPTON_WAVELENGTH	2014	2018	0.87
NEUTRON_GYROMAG_RATIO_OVER_2_PI	NEUTRON_GYROMAG_RATIO_IN_MHZ_T	2014	2018	0.02
NUCLEAR_MAGNETON_IN_INVERSE_METERS_PER_TESLA	NUCLEAR_MAGNETON_IN_INVERSE_METER_PER_TESLA	2014	2018	1.15
PLANCK_CONSTANT_IN_EV_S	PLANCK_CONSTANT_IN_EV_HZ	2014	2018	1.36
PLANCK_CONSTANT_OVER_2_PI	REDUCED_PLANCK_CONSTANT	2014	2018	1.31
PLANCK_CONSTANT_OVER_2_PI_IN_EV_S	REDUCED_PLANCK_CONSTANT_IN_EV_S	2014	2018	1.38
PLANCK_CONSTANT_OVER_2_PI_TIMES_C_IN_MEV_FM	REDUCED_PLANCK_CONSTANT_TIMES_C_IN_MEV_FM	2014	2018	1.33
PROTON_COMPTON_WAVELENGTH_OVER_2_PI	REDUCED_PROTON_COMPTON_WAVELENGTH	2014	2018	1.95
PROTON_GYROMAG_RATIO_OVER_2_PI	PROTON_GYROMAG_RATIO_IN_MHZ_T	2014	2018	1.38
SHIELDED_HELION_GYROMAG_RATIO_OVER_2_PI	SHIELDED_HELION_GYROMAG_RATIO_IN_MHZ_T	2014	2018	0.42
SHIELDED_PROTON_GYROMAG_RATIO_OVER_2_PI	SHIELDED_PROTON_GYROMAG_RATIO_IN_MHZ_T	2014	2018	0.47
TAU_COMPTON_WAVELENGTH_OVER_2_PI	REDUCED_TAU_COMPTON_WAVELENGTH	2014	2018	0.18
TAU_MASS_ENERGY_EQUIVALENT_IN_MEV	TAU_ENERGY_EQUIVALENT	2014	2018	0.20
#new	ALPHA_PARTICLE_RELATIVE_ATOMIC_MASS	2014	2018	-
#new	CONVENTIONAL_VALUE_OF_AMPERE_90	2014	2018	-
#new	CONVENTIONAL_VALUE_OF_COULOMB_90	2014	2018	-
#new	CONVENTIONAL_VALUE_OF_FARAD_90	2014	2018	-
#new	CONVENTIONAL_VALUE_OF_HENRY_90	2014	2018	-
#new	CONVENTIONAL_VALUE_OF_OHM_90	2014	2018	-
#new	CONVENTIONAL_VALUE_OF_VOLT_90	2014	2018	-
#new	CONVENTIONAL_VALUE_OF_WATT_90	2014	2018	-
#new	DEUTERON_RELATIVE_ATOMIC_MASS	2014	2018	-
#new	ELECTRON_RELATIVE_ATOMIC_MASS	2014	2018	-
#new	ELEMENTARY_CHARGE_OVER_H_BAR	2014	2018	-
#new	HELION_RELATIVE_ATOMIC_MASS	2014	2018	-
#new	HELION_SHIELDING_SHIFT	2014	2018	-
#new	HYPERFINE_TRANSITION_FREQUENCY_OF_CS_133	2014	2018	-
#new	LUMINOUS_EFFICACY	2014	2018	-
#new	NEUTRON_RELATIVE_ATOMIC_MASS	2014	2018	-
#new	PROTON_RELATIVE_ATOMIC_MASS	2014	2018	-
#new	SHIELDING_DIFFERENCE_OF_D_AND_P_IN_HD	2014	2018	-
#new	SHIELDING_DIFFERENCE_OF_T_AND_P_IN_HT	2014	2018	-
#new	TRITON_RELATIVE_ATOMIC_MASS	2014	2018	-
#new	TRITON_TO_PROTON_MAG_MOM_RATIO	2014	2018	-
#new	W_TO_Z_MASS_RATIO	2014	2018	-
#new	ALPHA_PARTICLE_RMS_CHARGE_RADIUS	2018	2022	-
